County,State,CountyCode,Percentage,Lower Limit, Upper Limit
Baker County,Oregon,41001,9.7,6,14.9
Benton County,Oregon,41003,5.5,4,7.4
Clackamas County,Oregon,41005,7.9,6.8,9.2
Clatsop County,Oregon,41007,7.1,4.9,10.2
Columbia County,Oregon,41009,10.9,7.8,14.8
Coos County,Oregon,41011,10.6,8,14
Crook County,Oregon,41013,10.6,6.5,15.9
Curry County,Oregon,41015,7.9,5.1,12.2
Deschutes County,Oregon,41017,6.9,5.4,8.8
Douglas County,Oregon,41019,9.6,7.4,12.2
Gilliam County,Oregon,41021,9.5,4.6,18.2
Grant County,Oregon,41023,5.3,2.7,9.1
Harney County,Oregon,41025,12.4,6.6,21.3
Hood River County,Oregon,41027,8,4.5,13.8
Jackson County,Oregon,41029,8.9,7.2,11
Jefferson County,Oregon,41031,16.9,9.9,25.9
Josephine County,Oregon,41033,9.3,6.7,12
Klamath County,Oregon,41035,9.5,7.1,12.8
Lake County,Oregon,41037,7.6,3.2,18.4
Lane County,Oregon,41039,8.4,7.1,9.7
Lincoln County,Oregon,41041,8.5,6,11.6
Linn County,Oregon,41043,8.5,6.6,10.7
Malheur County,Oregon,41045,8.5,5.4,13.1
Marion County,Oregon,41047,10.1,8.7,11.7
Morrow County,Oregon,41049,13.3,6.8,22.9
Multnomah County,Oregon,41051,8,7.1,8.9
Polk County,Oregon,41053,10.1,7.6,13.4
Sherman County,Oregon,41055,6,2.4,11.3
Tillamook County,Oregon,41057,6.2,3.6,9.8
Umatilla County,Oregon,41059,11.9,8.5,16
Union County,Oregon,41061,10,6.5,14.8
Wallowa County,Oregon,41063,10.2,4.9,17.2
Wasco County,Oregon,41065,6.9,4,11.1
Washington County,Oregon,41067,8.1,7,9.2
Wheeler County,Oregon,41069,10.4,4.7,20.6
Yamhill County,Oregon,41071,11,8.6,13.9
