State,County,Year,Percentage,Lower Limit,Upper Limit
Oregon,Baker ,2019,9.7,6,14.9
Oregon,Benton ,2019,5.5,4,7.4
Oregon,Clackamas ,2019,7.9,6.8,9.2
Oregon,Clatsop ,2019,7.1,4.9,10.2
Oregon,Columbia ,2019,10.9,7.8,14.8
Oregon,Coos ,2019,10.6,8,14
Oregon,Crook ,2019,10.6,6.5,15.9
Oregon,Curry ,2019,7.9,5.1,12.2
Oregon,Deschutes ,2019,6.9,5.4,8.8
Oregon,Douglas ,2019,9.6,7.4,12.2
Oregon,Gilliam ,2019,9.5,4.6,18.2
Oregon,Grant ,2019,5.3,2.7,9.1
Oregon,Harney ,2019,12.4,6.6,21.3
Oregon,Hood River ,2019,8,4.5,13.8
Oregon,Jackson ,2019,8.9,7.2,11
Oregon,Jefferson ,2019,16.9,9.9,25.9
Oregon,Josephine ,2019,9.3,6.7,12
Oregon,Klamath ,2019,9.5,7.1,12.8
Oregon,Lake ,2019,7.6,3.2,18.4
Oregon,Lane ,2019,8.4,7.1,9.7
Oregon,Lincoln ,2019,8.5,6,11.6
Oregon,Linn ,2019,8.5,6.6,10.7
Oregon,Malheur ,2019,8.5,5.4,13.1
Oregon,Marion ,2019,10.1,8.7,11.7
Oregon,Morrow ,2019,13.3,6.8,22.9
Oregon,Multnomah ,2019,8,7.1,8.9
Oregon,Polk ,2019,10.1,7.6,13.4
Oregon,Sherman ,2019,6,2.4,11.3
Oregon,Tillamook ,2019,6.2,3.6,9.8
Oregon,Umatilla ,2019,11.9,8.5,16
Oregon,Union ,2019,10,6.5,14.8
Oregon,Wallowa ,2019,10.2,4.9,17.2
Oregon,Wasco ,2019,6.9,4,11.1
Oregon,Washington ,2019,8.1,7,9.2
Oregon,Wheeler ,2019,10.4,4.7,20.6
Oregon,Yamhill ,2019,11,8.6,13.9
